zip,elevation_m,Temp
02664,13,84
02666,22,84
02667,14,84
02668,3,84
02670,7,84
02671,4,84
02672,-1,84
02673,6,84
02675,18,84
02702,52,84
02703,49,84
02713,24,84
02715,36,84
02717,27,84
02718,19,84
02719,9,84
02720,68,84
02721,53,84
02723,63,84
02724,58,84
02725,11,84
02726,30,84
02738,10,84
02739,12,84
02740,28,84
02743,24,84
02744,3,84
02745,24,84
02746,20,84
02747,33,84
02748,5,84
02760,67,84
02762,95,84
02763,48,84
02764,26,84
02766,21,84
02767,36,84
02769,27,84
02770,11,84
02771,21,84
02777,22,84
02779,36,84
02780,23,84
02790,27,84
02791,39,84
02802,51,84
02804,46,84
02806,11,84
02807,5,84
02808,46,84
02809,15,84
02812,49,84
02813,29,84
02814,174,84
02815,144,84
02816,106,84
02817,144,84
02818,42,84
02822,110,84
02823,68,84
02824,88,84
02825,159,84
02826,126,84
02827,157,84
02828,91,84
02829,147,84
02830,161,84
02831,93,84
02832,85,84
02833,121,84
02835,11,84
02836,65,84
02837,21,84
02838,78,84
02839,135,84
02840,7,84
02841,8,84
02842,45,84
02852,16,84
02857,152,84
02858,137,84
02859,198,84
02860,37,84
02861,30,84
02863,32,84
02864,101,84
02865,65,84
02871,55,84
02872,36,84
02873,126,84
02874,81,84
02875,94,84
02876,78,84
02878,50,84
02879,40,84
02881,80,84
02882,31,84
02885,10,84
02886,22,84
02888,22,84
02889,24,84
02891,18,84
02892,43,84
02893,84,84
02894,28,84
02895,45,84
02896,108,84
02898,63,84
02903,14,84
02904,21,84
02905,23,84
02906,33,84
02907,36,84
02908,42,84
02909,22,84
02910,24,84
02911,40,84
02912,37,84
02914,15,84
02915,17,84
02916,19,84
02917,61,84
02918,62,84
02919,74,84
02920,62,84
02921,105,84
03031,100,82
03032,90,82
03033,92,82
03034,162,82
03036,159,82
03037,153,82
03038,145,82
03042,72,82
03043,276,82
03044,74,82
03045,125,82
03046,252,82
03047,272,82
03048,220,82
03049,125,82
03051,93,82
03052,61,82
03053,108,82
03054,72,82
03055,103,82
03057,228,82
03060,76,82
03062,83,82
03063,59,82
03064,60,82
03070,158,82
03071,362,82
03076,62,82
03077,78,82
03079,45,82
03082,239,82
03084,481,82
03086,211,82
03087,103,82
03101,63,82
03102,85,82
03103,77,82
03104,138,82
03106,148,82
03109,77,82
03110,112,82
03215,600,82
03216,203,82
03217,327,82
03218,154,82
03220,240,82
03221,272,82
03222,290,82
03223,241,82
03224,241,82
03225,207,82
03226,215,82
03227,353,82
03229,142,82
03230,250,82
03231,206,82
03233,262,82
03234,250,82
03235,174,82
03237,306,82
03238,341,82
03240,342,82
03241,282,82
03242,233,82
03243,400,82
03244,245,82
03245,380,82
03246,200,82
03249,567,82
03251,1097,82
03253,295,82
03254,151,82
03255,325,82
03256,183,82
03257,387,82
03258,150,82
03259,580,82
03260,267,82
03261,201,82
03262,549,82
03263,248,82
03264,283,82
03266,502,82
03268,256,82
03269,197,82
03273,269,82
03275,116,82
03276,190,82
03278,236,82
03279,596,82
03280,486,82
03281,235,82
03282,317,82
03284,522,82
03285,370,82
03287,292,82
03290,111,82
03291,120,82
03293,349,82
03301,78,82
03303,212,82
03304,217,82
03307,233,82
03431,166,82
03440,320,82
03441,233,82
03442,328,82
03443,277,82
03444,499,82
03445,483,82
03446,186,82
03447,386,82
03448,343,82
03449,340,82
03450,419,82
03451,113,82
03452,336,82
03455,370,82
03456,423,82
03457,541,82
03458,275,82
03461,398,82
03462,318,82
03464,439,82
03465,349,82
03466,262,82
03467,166,82
03470,265,82
03561,513,82
03570,475,82
03574,454,82
03575,801,82
03576,510,82
03579,447,82
03580,941,82
03581,768,82
03582,983,82
03583,397,82
03584,335,82
03585,218,82
03586,384,82
03588,414,82
03590,715,82
03592,553,82
03593,1191,82
03595,880,82
03597,812,82
03598,306,82
03601,476,82
03602,364,82
03603,263,82
03604,123,82
03605,428,82
03607,413,82
03608,321,82
03609,119,82
03740,234,82
03741,367,82
03743,283,82
03745,308,82
03748,283,82
03750,345,82
03751,463,82
03752,610,82
03753,432,82
03755,599,82
03765,188,82
03766,244,82
03768,489,82
03770,351,82
03771,426,82
03773,320,82
03774,306,82
03777,682,82
03779,699,82
03780,287,82
03781,287,82
03782,362,82
03784,150,82
03785,855,82
03801,23,82
03809,247,82
03810,484,82
03811,100,82
03812,221,82
03813,567,82
03814,302,82
03816,227,82
03817,233,82
03818,970,82
03819,62,82
03820,35,82
03823,69,82
03824,21,82
03825,120,82
03826,87,82
03827,50,82
03830,248,82
03832,323,82
03833,38,82
03835,161,82
03836,213,82
03837,215,82
03838,251,82
03839,63,82
03840,8,82
03841,110,82
03842,22,82
03844,26,82
03845,640,82
03846,666,82
03847,210,82
03848,47,82
03849,242,82
03850,171,82
03851,249,82
03852,187,82
03853,187,82
03854,17,82
03855,239,82
03856,33,82
03857,34,82
03858,53,82
03860,174,82
03861,39,82
03862,20,82
03864,208,82
03865,35,82
03867,75,82
03868,91,82
03869,36,82
03870,14,82
03871,17,82
03872,215,82
03873,83,82
03874,17,82
03875,187,82
03878,68,82
03882,175,82
03883,493,82
03884,311,82
03885,28,82
03886,311,82
03887,225,82
03890,182,82
03894,183,82
03897,336,82
03901,102,80
03902,44,80
03903,46,80
03904,12,80
03905,3,80
03906,132,80
03907,49,80
03908,39,80
03909,53,80
03910,7,80
03911,27,80
04001,252,80
04002,104,80
04003,6,80
04005,24,80
04006,12,80
04008,33,80
04009,148,80
04010,214,80
04011,28,80
04015,147,80
04017,3,80
04019,15,80
04020,190,80
04021,41,80
04022,165,80
04024,143,80
04027,143,80
04029,153,80
04030,113,80
04032,42,80
04037,149,80
04038,54,80
04039,121,80
04040,185,80
04041,300,80
04042,63,80
04043,53,80
04046,52,80
04047,278,80
04048,175,80
04049,145,80
04050,10,80
04051,148,80
04055,122,80
04056,141,80
04057,126,80
04061,109,80
04062,74,80
04063,18,80
04064,32,80
04066,35,80
04068,268,80
04069,142,80
04071,90,80
04072,46,80
04073,91,80
04074,43,80
04076,214,80
04079,27,80
04083,143,80
04084,105,80
04085,90,80
04086,46,80
04087,166,80
04088,257,80
04090,54,80
04091,212,80
04092,31,80
04093,58,80
04095,239,80
04096,21,80
04097,57,80
04101,4,80
04102,10,80
04103,24,80
04105,32,80
04106,19,80
04107,1,80
04108,3,80
04109,0,80
04110,10,80
04210,78,80
04216,724,80
04217,303,80
04219,450,80
04220,220,80
04221,194,80
04222,52,80
04224,361,80
04226,212,80
04227,151,80
04231,302,80
04234,127,80
04236,105,80
04237,297,80
04238,174,80
04239,145,80
04240,99,80
04250,74,80
04252,83,80
04253,172,80
04254,132,80
04255,192,80
04256,110,80
04257,361,80
04258,185,80
04259,94,80
04260,141,80
04261,926,80
04263,89,80
04265,89,80
04267,235,80
04268,193,80
04270,200,80
04271,250,80
04274,144,80
04275,639,80
04276,424,80
04280,87,80
04281,192,80
04282,139,80
04284,126,80
04285,212,80
04286,207,80
04287,115,80
04289,199,80
04290,255,80
04292,164,80
04294,319,80
04330,36,80
04341,58,80
04342,70,80
04344,72,80
04345,86,80
04346,49,80
04347,66,80
04348,54,80
04349,168,80
04350,85,80
04351,104,80
04352,159,80
04353,42,80
04354,161,80
04355,92,80
04357,74,80
04358,88,80
04359,15,80
04360,275,80
04363,80,80
04364,95,80
04401,49,80
04406,416,80
04408,318,80
04410,88,80
04411,57,80
04412,43,80
04413,127,80
04414,189,80
04415,121,80
04416,46,80
04417,82,80
04418,56,80
04419,51,80
04421,12,80
04422,117,80
04424,134,80
04426,102,80
04427,63,80
04428,38,80
04429,89,80
04430,140,80
04431,66,80
04434,96,80
04435,84,80
04438,73,80
04441,419,80
04442,475,80
04443,165,80
04444,64,80
04448,116,80
04449,63,80
04450,38,80
04451,120,80
04453,107,80
04454,125,80
04455,142,80
04456,84,80
04457,75,80
04459,121,80
04460,126,80
04461,39,80
04462,439,80
04463,114,80
04464,223,80
04468,43,80
04469,37,80
04471,205,80
04472,113,80
04473,42,80
04474,97,80
04475,54,80
04476,47,80
04478,347,80
04479,181,80
04481,183,80
04485,361,80
04487,229,80
04488,78,80
04489,37,80
04490,155,80
04491,213,80
04492,92,80
04493,126,80
04495,104,80
04496,54,80
04497,142,80
04530,49,80
04535,28,80
04537,26,80
04538,0,80
04539,38,80
04541,33,80
04543,39,80
04544,22,80
04547,31,80
04548,39,80
04551,34,80
04553,36,80
04554,28,80
04555,28,80
04556,79,80
04558,34,80
04562,21,80
04563,30,80
04564,27,80
04568,24,80
04570,21,80
04571,42,80
04572,86,80
04573,21,80
04574,109,80
04575,13,80
04576,34,80
04578,47,80
04579,42,80
04605,33,80
04606,36,80
04607,31,80
04609,90,80
04611,3,80
04612,31,80
04613,0,80
04614,0,80
04616,16,80
04617,30,80
04619,63,80
04622,115,80
04623,33,80
04624,25,80
04625,0,80
04626,39,80
04627,32,80
04628,24,80
04630,23,80
04631,20,80
04634,62,80
04635,27,80
04640,34,80
04642,44,80
04643,0,80
04645,142,80
04646,19,80
04648,23,80
04649,21,80
04650,33,80
04652,16,80
04653,31,80
04654,30,80
04655,54,80
04657,107,80
04658,24,80
04660,51,80
04662,75,80
04664,44,80
04666,59,80
04667,49,80
04668,70,80
04669,15,80
04671,79,80
04673,16,80
04674,6,80
04675,49,80
04676,42,80
04677,15,80
04679,17,80
04680,31,80
04681,14,80
04683,16,80
04684,80,80
04685,19,80
04686,115,80
04691,50,80
04693,37,80
04694,109,80
04730,147,80
04732,245,80
04733,155,80
04734,172,80
04735,255,80
04736,193,80
04737,346,80
04739,222,80
04740,232,80
04742,134,80
04743,421,80
04745,227,80
04746,241,80
04747,146,80
04750,205,80
04756,313,80
04757,419,80
04758,180,80
04760,160,80
04761,135,80
04762,191,80
04763,421,80
04764,280,80
04765,231,80
04766,226,80
04768,465,80
04769,211,80
04772,226,80
04773,213,80
04774,369,80
04776,208,80
04777,218,80
04779,192,80
04780,310,80
04781,328,80
04783,187,80
04785,296,80
04786,190,80
04787,229,80
04841,151,80
04843,392,80
04847,199,80
04848,30,80
04849,76,80
04851,0,80
04852,31,80
04853,23,80
04854,18,80
04855,5,80
04856,77,80
04858,37,80
04859,5,80
04860,26,80
04861,53,80
04862,79,80
04863,28,80
04864,37,80
04901,78,80
04910,136,80
04911,144,80
04912,171,80
04915,27,80
04917,75,80
04918,101,80
04920,383,80
04921,195,80
04922,65,80
04923,151,80
04924,76,80
04925,645,80
04926,62,80
04927,71,80
04928,100,80
04929,62,80
04930,131,80
04932,99,80
04936,554,80
04937,61,80
04938,228,80
04939,264,80
04940,103,80
04941,197,80
04942,197,80
04943,101,80
04944,57,80
04945,359,80
04947,738,80
04949,240,80
04950,136,80
04951,96,80
04952,88,80
04953,97,80
04955,106,80
04956,559,80
04957,80,80
04958,154,80
04961,504,80
04963,168,80
04964,449,80
04965,81,80
04966,825,80
04967,98,80
04969,69,80
04970,526,80
04971,104,80
04973,54,80
04974,53,80
04975,44,80
